Count,Notes,Genus
24,Generated from dashboard plantData,Cephalanthus
27,Generated from dashboard plantData,Cercis
14,Generated from dashboard plantData,Chamaecrista
1,Generated from dashboard plantData,Chamaesaracha
0,Generated from dashboard plantData,Chaptalia
8,Generated from dashboard plantData,Chasmanthium
4,Generated from dashboard plantData,Chilopsis
3,Generated from dashboard plantData,Chloris
4,Generated from dashboard plantData,Cicuta
0,Generated from dashboard plantData,Cirsium
41,Generated from dashboard plantData,Cissus
14,Generated from dashboard plantData,Clematis
7,Generated from dashboard plantData,Clitoria
0,Generated from dashboard plantData,Cnidoscolus
2,Generated from dashboard plantData,Colubrina
2,Generated from dashboard plantData,Commelina
8,Generated from dashboard plantData,Condalia
0,Generated from dashboard plantData,Condaliopsis
11,Generated from dashboard plantData,Convolvulus
6,Generated from dashboard plantData,Coreopsis
79,Generated from dashboard plantData,Cornus
1,Generated from dashboard plantData,Coryphantha
105,Generated from dashboard plantData,Crataegus
0,Generated from dashboard plantData,Crocanthemum
17,Generated from dashboard plantData,Croton
0,Generated from dashboard plantData,Cucurbita
0,Generated from dashboard plantData,Cyclanthera
2,Generated from dashboard plantData,Cylindropuntia
0,Generated from dashboard plantData,Cynanchum
9,Generated from dashboard plantData,Cyperus
3,Generated from dashboard plantData,Dalea
0,Generated from dashboard plantData,Dasylirion
9,Generated from dashboard plantData,Datura
0,Generated from dashboard plantData,Daucus
8,Generated from dashboard plantData,Delphinium
0,Generated from dashboard plantData,Dermatophyllum
0,Generated from dashboard plantData,Desmanthus
0,Generated from dashboard plantData,Desmodium
0,Generated from dashboard plantData,Diaperia
0,Generated from dashboard plantData,Dichanthelium
0,Generated from dashboard plantData,Dichondra
0,Generated from dashboard plantData,Digitaria
0,Generated from dashboard plantData,Diodia
48,Generated from dashboard plantData,Diospyros
0,Generated from dashboard plantData,Disakisperma
0,Generated from dashboard plantData,Distimake
2,Generated from dashboard plantData,Dyschoriste
1,Generated from dashboard plantData,Echinacea
3,Generated from dashboard plantData,Echinocereus
0,Generated from dashboard plantData,Eclipta
4,Generated from dashboard plantData,Ehretia
4,Generated from dashboard plantData,Eleocharis
2,Generated from dashboard plantData,Elymus
1,Generated from dashboard plantData,Engelmannia
2,Generated from dashboard plantData,Eragrostis
0,Generated from dashboard plantData,Erechtites
18,Generated from dashboard plantData,Erigeron
0,Generated from dashboard plantData,Eriogonum
0,Generated from dashboard plantData,Erioneuron
5,Generated from dashboard plantData,Erodium
4,Generated from dashboard plantData,Eryngium
8,Generated from dashboard plantData,Erythrina
16,Generated from dashboard plantData,Euphorbia
0,Generated from dashboard plantData,Euploca
2,Generated from dashboard plantData,Eustoma
0,Generated from dashboard plantData,Evolvulus
2,Generated from dashboard plantData,Eysenhardtia
4,Generated from dashboard plantData,Forestiera
0,Generated from dashboard plantData,Frangula
104,Generated from dashboard plantData,Fraxinus
0,Generated from dashboard plantData,Froelichia
0,Generated from dashboard plantData,Fuirena
1,Generated from dashboard plantData,Funastrum
6,Generated from dashboard plantData,Gaillardia
0,Generated from dashboard plantData,Galium
0,Generated from dashboard plantData,Galphimia
2,Generated from dashboard plantData,Garrya
2,Generated from dashboard plantData,Geum
0,Generated from dashboard plantData,Giliastrum
0,Generated from dashboard plantData,Glandularia
3,Generated from dashboard plantData,Gomphrena
0,Generated from dashboard plantData,Gonolobus
14,Generated from dashboard plantData,Grindelia
0,Generated from dashboard plantData,Hedeoma
6,Generated from dashboard plantData,Helenium
81,Generated from dashboard plantData,Helianthus
0,Generated from dashboard plantData,Herbertia
0,Generated from dashboard plantData,Hesperaloe
0,Generated from dashboard plantData,Heteranthera
24,Generated from dashboard plantData,Heterotheca
0,Generated from dashboard plantData,Hexasepalum
38,Generated from dashboard plantData,Hibiscus
0,Generated from dashboard plantData,Homalocephala
0,Generated from dashboard plantData,Hopia
0,Generated from dashboard plantData,Hordeum
5,Generated from dashboard plantData,Hydrocotyle
0,Generated from dashboard plantData,Hymenopappus
13,Generated from dashboard plantData,Hypericum
0,Generated from dashboard plantData,Ibervillea
42,Generated from dashboard plantData,Ilex
8,Generated from dashboard plantData,Indigofera
0,Generated from dashboard plantData,Ipomoea
2,Generated from dashboard plantData,Ipomopsis
0,Generated from dashboard plantData,Isoetes
46,Generated from dashboard plantData,Juniperus
12,Generated from dashboard plantData,Justicia
3,Generated from dashboard plantData,Krameria
17,Generated from dashboard plantData,Lantana
0,Generated from dashboard plantData,Lepidium
0,Generated from dashboard plantData,Lespedeza
3,Generated from dashboard plantData,Leucophyllum
0,Generated from dashboard plantData,Leucospora
0,Generated from dashboard plantData,Linaria
0,Generated from dashboard plantData,Lindheimera
21,Generated from dashboard plantData,Linum
2,Generated from dashboard plantData,Lithospermum
28,Generated from dashboard plantData,Lonicera
10,Generated from dashboard plantData,Ludwigia
27,Generated from dashboard plantData,Lupinus
5,Generated from dashboard plantData,Lycium
0,Generated from dashboard plantData,Lygodesmia
9,Generated from dashboard plantData,Maclura
0,Generated from dashboard plantData,Malvastrum
11,Generated from dashboard plantData,Malvaviscus
0,Generated from dashboard plantData,Marshallia
1,Generated from dashboard plantData,Matelea
1,Generated from dashboard plantData,Maurandella
0,Generated from dashboard plantData,Mecardonia
0,Generated from dashboard plantData,Melampodium
0,Generated from dashboard plantData,Melica
1,Generated from dashboard plantData,Melochia
3,Generated from dashboard plantData,Melothria
0,Generated from dashboard plantData,Menodora
1,Generated from dashboard plantData,Mentzelia
0,Generated from dashboard plantData,Metastelma
0,Generated from dashboard plantData,Meximalva
6,Generated from dashboard plantData,Mikania
27,Generated from dashboard plantData,Mimosa
0,Generated from dashboard plantData,Mollugo
7,Generated from dashboard plantData,Monarda
0,Generated from dashboard plantData,Morella
12,Generated from dashboard plantData,Morus
5,Generated from dashboard plantData,Muhlenbergia
0,Generated from dashboard plantData,Myriopteris
0,Generated from dashboard plantData,Nama
0,Generated from dashboard plantData,Nassella
0,Generated from dashboard plantData,Nekemias
0,Generated from dashboard plantData,Neltuma
0,Generated from dashboard plantData,Nemastylis
1,Generated from dashboard plantData,Nemophila
0,Generated from dashboard plantData,Nephroia
1,Generated from dashboard plantData,Neptunia
0,Generated from dashboard plantData,Nicotiana
3,Generated from dashboard plantData,Nolina
0,Generated from dashboard plantData,Nothoscordum
0,Generated from dashboard plantData,Nyctaginia
22,Generated from dashboard plantData,Oenothera
27,Generated from dashboard plantData,Opuntia
4,Generated from dashboard plantData,Oxalis
1,Generated from dashboard plantData,Packera
9,Generated from dashboard plantData,Palafoxia
2,Generated from dashboard plantData,Parietaria
9,Generated from dashboard plantData,Parkinsonia
33,Generated from dashboard plantData,Parthenocissus
23,Generated from dashboard plantData,Paspalum
14,Generated from dashboard plantData,Passiflora
0,Generated from dashboard plantData,Pavonia
1,Generated from dashboard plantData,Pediomelum
0,Generated from dashboard plantData,Pellaea
14,Generated from dashboard plantData,Penstemon
0,Generated from dashboard plantData,Persicaria
4,Generated from dashboard plantData,Phacelia
3,Generated from dashboard plantData,Phalaris
0,Generated from dashboard plantData,Phemeranthus
7,Generated from dashboard plantData,Phlox
0,Generated from dashboard plantData,Phyla
3,Generated from dashboard plantData,Phyllanthus
13,Generated from dashboard plantData,Physalis
0,Generated from dashboard plantData,Phytolacca
0,Generated from dashboard plantData,Pinus
0,Generated from dashboard plantData,Pistia
0,Generated from dashboard plantData,Plantago
39,Generated from dashboard plantData,Platanus
0,Generated from dashboard plantData,Plectocephalus
0,Generated from dashboard plantData,Pleopeltis
0,Generated from dashboard plantData,Polanisia
0,Generated from dashboard plantData,Polypremum
0,Generated from dashboard plantData,Polytaenia
0,Generated from dashboard plantData,Pombalia
6,Generated from dashboard plantData,Pontederia
183,Generated from dashboard plantData,Populus
22,Generated from dashboard plantData,Portulaca
3,Generated from dashboard plantData,Proboscidea
270,Generated from dashboard plantData,Prunus
9,Generated from dashboard plantData,Ptelea
4,Generated from dashboard plantData,Pteridium
6,Generated from dashboard plantData,Pyrrhopappus
468,Generated from dashboard plantData,Quercus
1,Generated from dashboard plantData,Ratibida
0,Generated from dashboard plantData,Rhinotropis
55,Generated from dashboard plantData,Rhus
7,Generated from dashboard plantData,Rhynchosia
0,Generated from dashboard plantData,Rhynchosida
1,Generated from dashboard plantData,Rhynchospora
2,Generated from dashboard plantData,Richardia
2,Generated from dashboard plantData,Rivina
100,Generated from dashboard plantData,Rubus
14,Generated from dashboard plantData,Rudbeckia
6,Generated from dashboard plantData,Ruellia
0,Generated from dashboard plantData,Rumex
5,Generated from dashboard plantData,Sabal
0,Generated from dashboard plantData,Sabatia
229,Generated from dashboard plantData,Salix
13,Generated from dashboard plantData,Salvia
24,Generated from dashboard plantData,Sambucus
0,Generated from dashboard plantData,Samolus
0,Generated from dashboard plantData,Sanicula
9,Generated from dashboard plantData,Sapindus
2,Generated from dashboard plantData,Saururus
0,Generated from dashboard plantData,Schoenocaulon
0,Generated from dashboard plantData,Scleria
0,Generated from dashboard plantData,Scutellaria
6,Generated from dashboard plantData,Sedum
1,Generated from dashboard plantData,Selaginella
0,Generated from dashboard plantData,Senega
0,Generated from dashboard plantData,Senegalia
14,Generated from dashboard plantData,Senna
17,Generated from dashboard plantData,Sesbania
10,Generated from dashboard plantData,Setaria
0,Generated from dashboard plantData,Sicyos
23,Generated from dashboard plantData,Sida
12,Generated from dashboard plantData,Sideroxylon
2,Generated from dashboard plantData,Silene
2,Generated from dashboard plantData,Silphium
2,Generated from dashboard plantData,Simsia
0,Generated from dashboard plantData,Sisyrinchium
0,Generated from dashboard plantData,Smallanthus
19,Generated from dashboard plantData,Smilax
0,Generated from dashboard plantData,Solanum
82,Generated from dashboard plantData,Solidago
7,Generated from dashboard plantData,Sorghastrum
15,Generated from dashboard plantData,Sphaeralcea
11,Generated from dashboard plantData,Stachys
0,Generated from dashboard plantData,Steinchisma
0,Generated from dashboard plantData,Stenaria
2,Generated from dashboard plantData,Stillingia
3,Generated from dashboard plantData,Streptanthus
8,Generated from dashboard plantData,Symphyotrichum
0,Generated from dashboard plantData,Talinum
18,Generated from dashboard plantData,Taxodium
8,Generated from dashboard plantData,Tephrosia
0,Generated from dashboard plantData,Tetragonotheca
1,Generated from dashboard plantData,Tetraneuris
0,Generated from dashboard plantData,Teucrium
0,Generated from dashboard plantData,Thalia
1,Generated from dashboard plantData,Thamnosma
1,Generated from dashboard plantData,Thelesperma
1,Generated from dashboard plantData,Thymophylla
2,Generated from dashboard plantData,Tillandsia
0,Generated from dashboard plantData,Tinantia
0,Generated from dashboard plantData,Toxicodendron
5,Generated from dashboard plantData,Tradescantia
0,Generated from dashboard plantData,Tragia
0,Generated from dashboard plantData,Triodanis
5,Generated from dashboard plantData,Tripsacum
143,Generated from dashboard plantData,Ulmus
2,Generated from dashboard plantData,Ungnadia
4,Generated from dashboard plantData,Urochloa
0,Generated from dashboard plantData,Vachellia
0,Generated from dashboard plantData,Valerianella
11,Generated from dashboard plantData,Verbena
21,Generated from dashboard plantData,Verbesina
19,Generated from dashboard plantData,Vernonia
67,Generated from dashboard plantData,Viburnum
16,Generated from dashboard plantData,Vicia
8,Generated from dashboard plantData,Viguiera
78,Generated from dashboard plantData,Vitis
0,Generated from dashboard plantData,Warnockia
6,Generated from dashboard plantData,Wedelia
0,Generated from dashboard plantData,Woodsia
0,Generated from dashboard plantData,Xanthisma
0,Generated from dashboard plantData,Xanthium
30,Generated from dashboard plantData,Yucca
0,Generated from dashboard plantData,Zanthoxylum
0,Generated from dashboard plantData,Zeltnera
0,Generated from dashboard plantData,Zephyranthes
